activity,modelElementId,status,sourceFileElementId,revitElementId
CH08-MY-211,06c698a7-bc26-4095-9ff2-ac4657cb6e81,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0d1,7983313
CH08-MY-211,200c2d7c-81c3-4d31-9445-f877be8d7e28,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0d0,7983312
CH08-MY-211,2a10c401-0c3e-410f-a713-de270d9538cb,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0c8,7983304
CH08-MY-211,3a33cee1-eb5d-4140-812f-a3394d0588d7,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0c9,7983305
CH08-MY-211,3edc292f-d029-4bf7-991c-1f26495035bb,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0d2,7983314
CH08-MY-211,4c8ae492-6010-4368-9e06-5887f849575c,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d04d,7983181
CH08-MY-211,64e5f5c3-2721-4df5-b522-e876b95604c8,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0cb,7983307
CH08-MY-211,7eb25bd0-fbba-4d88-9696-7d5fed142e9c,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d04c,7983180
CH08-MY-211,979bec60-9c80-4825-a4f3-2dd5d3d00b5a,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0cd,7983309
CH08-MY-211,c8ed57b3-1d66-40b7-a400-97307caa025c,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0ca,7983306
CH08-MY-211,cc3bdb0e-ec2b-4391-90ac-45568d022a90,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d13c,7983420
CH08-MY-211,da169a75-5b05-4e13-9179-865e0572d72d,NO_STATUS_ROW,4be32240-ade4-4627-a285-f3f14e0de0c7-0079d0cc,7983308
CH08-MY-41,12398bf3-dae3-4c29-8275-a97e1cb64d5c,NO_STATUS_ROW,fa820000-bb28-475e-860e-422b67b2455b-005fa796,6268822
CH08-MY-41,cad330b0-27b4-4b61-9bfe-1e80271775a5,NO_STATUS_ROW,fa820000-bb28-475e-860e-422b67b2455b-005fa797,6268823
CH08-MY-881,0ea490b6-861a-414d-a75e-de0ccdc9fc38,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e5b,290395
CH08-MY-881,10a9f138-a761-443f-81dd-6b63d305d8b7,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e57,290391
CH08-MY-881,3600a40b-b5da-4ac7-a885-397af0be6a09,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e56,290390
CH08-MY-881,4000edb8-21cb-4476-ac7b-996837968e8e,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e55,290389
CH08-MY-881,4be67d59-215d-4fca-866b-52b4d61ad94e,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e54,290388
CH08-MY-881,5c6fbcaa-fe3d-4d1c-9556-2ff027db8a8e,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e50,290384
CH08-MY-881,5e326a7f-d7b3-4685-b045-6e43b5aa9c5d,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e4c,290380
CH08-MY-881,9517b956-acc2-4289-a3ce-c9b68e613319,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046db3,290227
CH08-MY-881,a00e6730-4a9b-4e6b-8d71-ad556b785683,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e4d,290381
CH08-MY-881,a5f28b7b-0803-408a-93e4-82e47e2ac5d4,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046db2,290226
CH08-MY-881,ad6d1578-b24f-4eb5-9b99-0be7ae198f98,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046ece,290510
CH08-MY-881,c4a89831-c303-4260-87a4-804a753c85f1,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046ecd,290509
CH08-MY-881,d0aeb47d-6772-4fee-a281-429b1af4754b,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e4e,290382
CH08-MY-881,f7e8a653-0255-4e84-8534-d65cedb1b677,NO_STATUS_ROW,91a3b395-4493-4d07-ba6b-277469b23fad-00046e53,290387
